Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Discovery_Year
Kepler-341b,,0.105,5.195528,0.06,,transit,3520.0,0.94,6012.0,2014
Kepler-341c,,0.152,8.01041,0.08,,transit,3520.0,0.94,6012.0,2014
Kepler-341d,,0.165,27.666313,0.182,,transit,3520.0,0.94,6012.0,2014
Kepler-341e,,0.178,42.473269,0.242,,transit,3520.0,0.94,6012.0,2014
Kepler-342b,,0.201,15.170318,0.128,,transit,2600.0,1.13,6175.0,2014
Kepler-342c,,0.175,26.234138,0.185,,transit,2600.0,1.13,6175.0,2014
Kepler-342d,,0.222,39.459357,0.242,,transit,2600.0,1.13,6175.0,2014
Kepler-343b,,0.215,8.96855,0.088,,transit,3100.0,1.04,5807.0,2014
Kepler-343c,,0.18,23.22182,0.167,,transit,3100.0,1.04,5807.0,2014
Kepler-344b,,0.233,21.963945,0.153,,transit,3360.0,0.9,5774.0,2014
Kepler-344c,,0.263,125.596809,0.488,,transit,3360.0,0.9,5774.0,2014
Kepler-345b,,0.066,7.415563,0.066,,transit,1180.0,0.59,4504.0,2014
Kepler-345c,,0.107,9.387427,0.077,,transit,1180.0,0.59,4504.0,2014
Kepler-346b,,0.237,6.511127,0.071,,transit,3300.0,0.97,6033.0,2014
Kepler-346c,,0.274,23.851549,0.168,,transit,3300.0,0.97,6033.0,2014
Kepler-347b,,0.176,12.79836,0.11,,transit,4400.0,1.04,6088.0,2014
Kepler-347c,,0.156,27.320871,0.183,,transit,4400.0,1.04,6088.0,2014
Kepler-348b,,0.136,7.05677,0.076,,transit,1890.0,1.15,6177.0,2014
Kepler-348c,,0.119,17.265427,0.138,,transit,1890.0,1.15,6177.0,2014
Kepler-349b,,0.17,5.929778,0.065,,transit,3150.0,0.97,5956.0,2014
Kepler-349c,,0.175,12.247629,0.105,,transit,3150.0,0.97,5956.0,2014
Kepler-350b,,0.165,11.189562,0.104,,transit,3200.0,1.0,6186.0,2014
Kepler-351b,,0.273,37.054919,0.214,,transit,3640.0,0.89,5643.0,2014
Kepler-351c,,0.285,57.24809,0.287,,transit,3640.0,0.89,5643.0,2014
Kepler-352b,,0.077,10.05537,0.085,,transit,830.0,0.79,5212.0,2014
Kepler-352c,,0.111,16.332995,0.118,,transit,830.0,0.79,5212.0,2014
Kepler-353b,,0.079,5.795278,0.051,,transit,1268.0,0.54,3903.0,2014
Kepler-353c,,0.123,8.410894,0.065,,transit,1268.0,0.54,3903.0,2014
Kepler-354b,,0.164,5.47666,0.054,,transit,1830.0,0.65,4648.0,2014
Kepler-354c,,0.117,16.934402,0.115,,transit,1830.0,0.65,4648.0,2014
Kepler-354d,,0.111,24.209842,0.146,,transit,1830.0,0.65,4648.0,2014
Kepler-355b,,0.13,11.03189,0.102,,transit,4870.0,1.05,6184.0,2014
Kepler-355c,,0.242,25.762294,0.179,,transit,4870.0,1.05,6184.0,2014
Kepler-356b,,0.14,4.612696,0.057,,transit,2350.0,0.97,6133.0,2014
Kepler-356c,,0.161,13.121632,0.115,,transit,2350.0,0.97,6133.0,2014
Kepler-357b,,0.164,6.475434,0.063,,transit,2290.0,0.78,5036.0,2014
Kepler-357c,,0.238,16.85837,0.12,,transit,2290.0,0.78,5036.0,2014
Kepler-357d,,0.306,49.499875,0.246,,transit,2290.0,0.78,5036.0,2014
Kepler-358b,,0.243,34.060467,0.21,,transit,3700.0,0.95,5908.0,2014
Kepler-358c,,0.254,83.488369,0.381,,transit,3700.0,0.95,5908.0,2014
Kepler-359b,,0.315,25.563222,0.178,,transit,4900.0,1.07,6248.0,2014
Kepler-359c,,0.384,57.68802,0.307,,transit,4900.0,1.07,6248.0,2014
Kepler-359d,,0.358,77.095691,0.372,,transit,4900.0,1.07,6248.0,2014
Kepler-360b,,0.147,3.289672,0.044,,transit,2930.0,0.95,6053.0,2014
Kepler-360c,,0.187,7.186434,0.075,,transit,2930.0,0.95,6053.0,2014
Kepler-361b,,0.129,8.486616,0.086,,transit,3110.0,1.07,6169.0,2014
Kepler-361c,,0.225,55.188023,0.3,,transit,3110.0,1.07,6169.0,2014
Kepler-362b,,0.079,10.327186,0.087,,transit,3660.0,0.77,5788.0,2014
Kepler-362c,,0.129,37.866281,0.207,,transit,3660.0,0.77,5788.0,2014
Kepler-363b,,0.103,3.614568,0.048,,transit,2540.0,1.23,5593.0,2014
Kepler-363c,,0.151,7.542427,0.079,,transit,2540.0,1.23,5593.0,2014
Kepler-363d,,0.183,11.932125,0.107,,transit,2540.0,1.23,5593.0,2014
Kepler-364b,,0.138,25.745718,0.178,,transit,2980.0,1.2,6108.0,2014
Kepler-364c,,0.192,59.980627,0.312,,transit,2980.0,1.2,6108.0,2014
Kepler-365b,,0.182,10.664903,0.098,,transit,2800.0,0.99,6012.0,2014
Kepler-365c,,0.146,17.784129,0.137,,transit,2800.0,0.99,6012.0,2014
Kepler-366b,,0.13,3.281959,0.045,,transit,6400.0,1.05,6209.0,2014
Kepler-366c,,0.16,12.51616,0.11,,transit,6400.0,1.05,6209.0,2014
Kepler-367b,,0.116,37.815724,0.201,,transit,616.0,0.75,4710.0,2014
Kepler-367c,,0.107,53.578637,0.253,,transit,616.0,0.75,4710.0,2014
Kepler-368b,,0.291,26.84768,0.186,,transit,2570.0,0.71,5502.0,2014
Kepler-368c,,0.346,72.379334,0.36,,transit,2570.0,0.71,5502.0,2014
Kepler-369b,,0.101,2.732756,0.03,,transit,840.0,0.54,3591.0,2014
Kepler-369c,,0.126,14.871572,0.094,,transit,840.0,0.54,3591.0,2014
Kepler-370b,,0.142,4.57953,0.054,,transit,3930.0,0.94,5852.0,2014
Kepler-370c,,0.17,19.02293,0.14,,transit,3930.0,0.94,5852.0,2014
Kepler-371b,,0.169,34.763278,0.2,,transit,2710.0,0.94,5666.0,2014
Kepler-371c,,0.159,67.968015,0.313,,transit,2710.0,0.94,5666.0,2014
Kepler-372b,,0.121,6.849692,0.075,,transit,5090.0,1.15,6509.0,2014
Kepler-372c,,0.186,20.053763,0.154,,transit,5090.0,1.15,6509.0,2014
Kepler-372d,,0.151,30.092568,0.201,,transit,5090.0,1.15,6509.0,2014
Kepler-373b,,0.121,5.535309,0.06,,transit,3670.0,0.87,5787.0,2014
Kepler-373c,,0.111,16.725948,0.126,,transit,3670.0,0.87,5787.0,2014
Kepler-374b,,0.092,1.897806,0.029,,transit,4280.0,0.84,5977.0,2014
Kepler-374c,,0.098,3.282807,0.042,,transit,4280.0,0.84,5977.0,2014
Kepler-374d,,0.117,5.028219,0.056,,transit,4280.0,0.84,5977.0,2014
Kepler-375b,,0.129,12.125934,0.101,,transit,4180.0,0.89,5826.0,2014
Kepler-375c,,0.236,19.986326,0.141,,transit,4180.0,0.89,5826.0,2014
Kepler-376b,,0.095,4.920199,0.057,,transit,3090.0,1.05,5900.0,2014
Kepler-376c,,0.16,14.172327,0.115,,transit,3090.0,1.05,5900.0,2014
Kepler-377b,,0.124,12.509529,0.109,,transit,2750.0,0.88,5949.0,2014
Kepler-377c,,0.184,27.014976,0.182,,transit,2750.0,0.88,5949.0,2014
Kepler-378b,,0.067,16.092361,0.112,,transit,498.3,0.96,4661.0,2014
Kepler-378c,,0.062,28.906009,0.166,,transit,498.3,0.96,4661.0,2014
Kepler-379b,,0.148,20.09838,0.152,,transit,2430.0,1.08,6054.0,2014
Kepler-379c,,0.204,62.784697,0.326,,transit,2430.0,1.08,6054.0,2014
Kepler-380b,,0.106,3.930821,0.05,,transit,2710.0,1.05,6045.0,2014
Kepler-380c,,0.113,7.630004,0.078,,transit,2710.0,1.05,6045.0,2014
Kepler-381b,,0.088,5.629021,0.066,,transit,878.0,1.34,6152.0,2014
Kepler-381c,,0.1,13.391635,0.117,,transit,878.0,1.34,6152.0,2014
Kepler-382b,,0.118,5.262155,0.055,,transit,3130.0,0.8,5600.0,2014
Kepler-382c,,0.142,12.162701,0.097,,transit,3130.0,0.8,5600.0,2014
Kepler-383b,,0.118,12.904532,0.095,,transit,1695.0,0.67,4710.0,2014
Kepler-383c,,0.111,31.200751,0.172,,transit,1695.0,0.67,4710.0,2014
Kepler-384b,,0.1,22.597053,0.148,,transit,2990.0,0.76,5577.0,2014
Kepler-384c,,0.101,45.348269,0.236,,transit,2990.0,0.76,5577.0,2014
Kepler-385b,,0.244,10.043686,0.097,,transit,4870.0,1.09,6326.0,2014
Kepler-385c,,0.271,15.163161,0.127,,transit,4870.0,1.09,6326.0,2014
Kepler-386b,,0.124,12.31043,0.096,,transit,2950.0,0.74,5178.0,2014
Kepler-386c,,0.141,25.193458,0.155,,transit,2950.0,0.74,5178.0,2014
Kepler-387b,,0.092,6.791636,0.068,,transit,2670.0,1.03,5774.0,2014
